Name,Type,HBCU,HSI,Average_Total_Cost,Instructional_Expenditure,Faculty_Salary,Pell_Grant,Federal_Loan,logEndowment
University of Alabama at Birmingham,Public,No,No,25542,14691,11380,0.3563,0.5026,8.73
University of Alabama in Huntsville,Public,No,No,24861,8320,9697,0.2304,0.4083,7.888
Alabama State University,Public,Yes,No,21892,9579,7194,0.759,0.684,7.976
The University of Alabama,Public,No,No,30016,9650,10349,0.172,0.3898,8.976
Auburn University at Montgomery,Public,No,No,20225,6289,7729,0.5581,0.5781,7.709
Auburn University,Public,No,No,32196,8361,10722,0.0996,0.2823,8.889
Birmingham-Southern College,Private,No,No,32514,11481,6961,0.238,0.4548,7.725
Faulkner University,Private,No,No,34835,5917,5926,0.4961,0.7519,7.267
Huntingdon College,Private,No,No,37483,6497,6886,0.3594,0.7422,7.706
Jacksonville State University,Public,No,No,21560,7183,7326,0.5412,0.6201,7.135
Judson College,Private,No,No,32380,14892,5432,0.6304,0.8913,7.19
University of Montevallo,Public,No,No,26018,13809,7623,0.3838,0.5788,7.351
Samford University,Private,No,No,49634,15372,9007,0.1133,0.3411,8.541
University of South Alabama,Public,No,No,21694,9509,7507,0.3775,0.5294,8.637
Spring Hill College,Private,No,No,55844,7979,6040,0.3562,0.9007,7.259
Troy University,Public,No,No,21251,6886,6785,0.4695,0.8437,8.111
Tuskegee University,Private,Yes,No,40750,12714,7224,0.8791,0.1813,8.111
University of Alaska Fairbanks,Public,No,No,19135,18087,9658,0.3302,0.2783,8.059
Arizona State University Campus Immersion,Public,No,No,27056,12931,11250,0.3408,0.3378,8.908
University of Arizona,Public,No,Yes,27461,13699,10305,0.2379,0.2858,9.013
Embry-Riddle Aeronautical University-Prescott,Private,No,No,54536,13598,9256,0.1742,0.4402,7.688
Prescott College,Private,No,No,43649,6721,5423,0.4182,0.6727,6.342
Arizona Christian University,Private,No,Yes,44585,4685,5102,0.4375,0.8269,6
University of Arkansas at Little Rock,Public,No,No,20416,8062,9822,0.5826,0.5062,8.046
Lyon College,Private,No,No,41396,12587,6548,0.4335,0.7283,7.785
University of Arkansas,Public,No,No,23997,11441,9951,0.1819,0.4078,9.087
University of Arkansas at Pine Bluff,Public,Yes,No,19541,8129,5885,0.7609,0.736,6.581
Arkansas State University,Public,No,No,23009,5604,7240,0.4327,0.5673,7.907
University of Central Arkansas,Public,No,No,23185,7957,7166,0.4184,0.5316,7.574
Central Baptist College,Private,No,No,26390,3543,5510,0.5714,0.6571,6.529
Harding University,Private,No,No,31647,10120,7492,0.2239,0.5187,8.184
Henderson State University,Public,No,No,23005,5843,6704,0.5223,0.535,7.323
John Brown University,Private,No,No,40774,8435,6937,0.3302,0.522,8.099
Ouachita Baptist University,Private,No,No,40200,9047,6510,0.2698,0.7415,8.082
University of the Ozarks,Private,No,No,34832,8151,6680,0.4258,0.5263,8.061
Williams Baptist University,Private,No,No,30063,4685,5427,0.5808,0.7121,7.193
Biola University,Private,No,No,58012,11466,7394,0.2225,0.538,8.209
California Baptist University,Private,No,Yes,48731,9202,10122,0.4163,0.6579,7.817
California Institute of Technology,Private,No,No,74763,105239,20228,0.1149,0.0426,9.475
California Lutheran University,Private,No,Yes,60668,9606,10381,0.3663,0.5889,8.03
California Polytechnic State University-San Luis Obispo,Public,No,No,28927,10510,10647,0.1452,0.2681,8.357
California State University-San Bernardino,Public,No,Yes,19114,7112,9943,0.6613,0.2048,7.62
California State Polytechnic University-Pomona,Public,No,Yes,22365,7494,10677,0.4686,0.3107,8.007
California State University-Chico,Public,No,Yes,25073,7217,9682,0.4163,0.4238,7.815
California State University-Fresno,Public,No,Yes,17683,7490,9545,0.6194,0.1857,8.204
California State University-Fullerton,Public,No,Yes,17791,7468,10331,0.5038,0.2553,7.848
California State University-Long Beach,Public,No,Yes,19846,7961,10271,0.5002,0.2748,7.9
California State University-Los Angeles,Public,No,Yes,15307,7158,10198,0.7786,0.136,7.658
California State University-Northridge,Public,No,Yes,19794,6819,10318,0.6494,0.2617,8.135
California State University-Sacramento,Public,No,Yes,21576,7837,9824,0.5761,0.2993,7.709
University of California-Berkeley,Public,No,No,39016,21700,18027,0.2077,0.2026,9.331
University of California-Davis,Public,No,No,35532,24939,15450,0.3255,0.3199,8.679
University of California-Irvine,Public,No,Yes,34355,21724,16461,0.3811,0.2592,8.684
University of California-Riverside,Public,No,Yes,30561,15212,14331,0.4702,0.4162,8.247
University of California-San Diego,Public,No,No,33240,22312,16513,0.3158,0.3186,8.903
University of California-Santa Barbara,Public,No,Yes,36492,14927,16895,0.2886,0.2855,8.401
University of California-Santa Cruz,Public,No,Yes,35925,11173,15214,0.2692,0.3408,8.043
Chapman University,Private,No,No,74336,17651,12108,0.1761,0.5727,8.609
Concordia University-Irvine,Private,No,Yes,53235,8598,7218,0.3684,0.6023,7.488
San Diego Christian College,Private,No,Yes,47755,5604,6436,0.3443,0.5902,5.833
Claremont McKenna College,Private,No,No,76475,32345,14819,0.1982,0.1982,8.937
Dominican University of California,Private,No,Yes,67366,13731,9100,0.2277,0.4831,7.54
Fresno Pacific University,Private,No,Yes,43317,5443,7538,0.52,0.5429,7.229
Harvey Mudd College,Private,No,No,79539,30740,14391,0.1384,0.3348,8.517
California State Polytechnic University-Humboldt,Public,No,Yes,24991,9895,9822,0.4945,0.5141,7.495
Life Pacific University,Private,No,Yes,29158,4735,6678,0.48,0.6667,6.554
University of La Verne,Private,No,Yes,60759,10571,9463,0.5449,0.6653,8.039
La Sierra University,Private,No,Yes,45629,9371,8227,0.5238,0.7016,7.304
Loyola Marymount University,Private,No,No,70235,18413,11796,0.1091,0.3261,8.678
Mills College,Private,No,No,48360,16733,10110,0.4328,0.5,8.293
Mount Saint Mary's University,Private,No,Yes,57689,11885,8899,0.7057,0.8454,8.152
Occidental College,Private,No,No,76600,21037,11229,0.169,0.411,8.651
Hope International University,Private,No,Yes,46231,4618,5335,0.4771,0.9083,6.868
Pacific Union College,Private,No,Yes,44714,17835,6355,0.4556,0.6331,7.466
University of the Pacific,Private,No,No,64784,20425,10872,0.3762,0.495,8.666
Pepperdine University,Private,No,No,75312,11853,12824,0.1657,0.4365,8.963
Point Loma Nazarene University,Private,No,No,53045,9092,10357,0.1637,0.5565,7.786
University of Redlands,Private,No,Yes,68156,12012,10240,0.3527,0.5864,8.261
San Diego State University,Public,No,Yes,23367,7661,11169,0.2569,0.2744,8.497
San Francisco State University,Public,No,Yes,24513,8297,11037,0.4873,0.3403,8.135
University of San Francisco,Private,No,No,69987,17505,11979,0.2572,0.5035,8.591
San Jose State University,Public,No,Yes,25747,8057,10645,0.3876,0.3209,8.185
Santa Clara University,Private,No,No,74297,20250,12825,0.098,0.2752,9.008
Scripps College,Private,No,No,77588,27083,11938,0.0919,0.212,8.575
Simpson University,Private,No,Yes,46394,9179,6442,0.3486,0.5963,6.876
Saint Mary's College of California,Private,No,Yes,69071,14601,10869,0.1939,0.5082,8.258
