HouseID,PersonID,Age,Education,Gender,OnlineOrders,PhysicalActivity,DistanceToWork,TimeToWork,Area,Urban,AnnualMiles,HybridDriver
30001013,1,48,Bachelor Degree,Female,3,Vigorous,13.33,25,LAOC,Urban,12000,No
30001785,1,59,Some College,Female,0,Light,48.46,90,IE,Urban,20000,No
30002253,1,58,Some College,Male,15,Light,9.07,20,IE,Suburban,8000,No
30002507,2,48,Graduate or Professional Degree,Male,1,Light,17.35,15,LAOC,Urban,30000,No
30002762,1,48,Graduate or Professional Degree,Female,1,Light,15.71,120,IE,Suburban,60000,No
30002933,1,49,Bachelor Degree,Female,2,Light,5.13,15,LAOC,Urban,7000,Yes
30004024,2,39,Graduate or Professional Degree,Male,0,Vigorous,24.19,30,LAOC,Urban,11000,No
30004426,1,38,Some College,Female,0,Light,11.35,15,LAOC,Small Town/Rural,100000,No
30004426,2,46,Some College,Male,0,None,8.24,10,LAOC,Small Town/Rural,20000,No
30004647,2,47,Bachelor Degree,Female,5,Light,12,30,LAOC,Urban,10000,No
30005526,1,53,Bachelor Degree,Male,3,Vigorous,2.42,15,LAOC,Urban,7000,No
30005590,2,50,Graduate or Professional Degree,Female,3,Vigorous,6.45,15,LAOC,Urban,5000,No
30005883,2,43,Bachelor Degree,Female,4,Light,20.13,20,LAOC,Urban,15000,No
30006031,1,50,Graduate or Professional Degree,Male,5,Light,39.71,90,LAOC,Suburban,20000,No
30006031,2,55,Bachelor Degree,Female,10,Light,28.97,50,LAOC,Suburban,5000,No
30006599,1,52,Some College,Male,2,Light,16.63,45,LAOC,Urban,25000,No
30006686,1,67,Graduate or Professional Degree,Male,0,Light,26.96,50,LAOC,Urban,11000,No
30007456,1,78,Some College,Male,0,Light,0.59,10,IE,Small Town/Rural,10000,No
30007952,1,66,Bachelor Degree,Female,10,Vigorous,0.81,5,IE,Urban,1000,No
30009173,1,35,Some College,Female,0,None,42.61,135,LAOC,Urban,22000,No
30010917,1,55,Bachelor Degree,Female,10,Light,28.08,45,LAOC,Urban,20000,Yes
30010917,2,59,Graduate or Professional Degree,Male,4,None,18.15,40,LAOC,Urban,9500,No
30019349,2,53,Bachelor Degree,Female,5,Light,7.46,30,LAOC,Urban,30000,No
30019702,1,30,Bachelor Degree,Male,4,Light,5.86,20,LAOC,Urban,20000,No
30020332,1,40,Graduate or Professional Degree,Male,1,Light,9.6,20,LAOC,Small Town/Rural,10000,No
30020332,4,30,Bachelor Degree,Male,3,Vigorous,10.66,10,LAOC,Small Town/Rural,15000,No
30020898,1,52,Graduate or Professional Degree,Male,0,Vigorous,4.61,15,LAOC,Urban,8000,Yes
30021552,1,40,Some College,Female,5,Light,5.09,30,LAOC,Urban,15000,No
30021552,2,45,High School Graduate,Male,0,Light,14.29,30,LAOC,Urban,10000,No
30022399,2,29,Some College,Male,4,Vigorous,21.34,45,LAOC,Urban,25000,No
30022607,2,48,Graduate or Professional Degree,Female,2,Light,6.19,20,LAOC,Suburban,7000,No
30023110,1,56,Some College,Male,0,Vigorous,10.26,30,IE,Small Town/Rural,14000,No
30023110,2,55,Some College,Female,10,Vigorous,37.4,70,IE,Small Town/Rural,20000,No
30023924,1,51,Some College,Female,10,Light,5.42,10,IE,Urban,6000,No
30024296,1,47,Less than High School,Female,2,Light,9.6,60,LAOC,Urban,34000,No
30024800,1,31,Graduate or Professional Degree,Female,1,Light,5.4,35,LAOC,Urban,16000,No
30024800,2,28,Bachelor Degree,Male,0,Light,2.52,10,LAOC,Urban,15000,No
30025453,2,28,High School Graduate,Female,0,Light,7.77,30,LAOC,Urban,8000,No
30025910,1,40,Bachelor Degree,Male,3,Vigorous,9.83,25,IE,Urban,15000,No
30026251,1,44,Some College,Female,4,Light,8.19,15,LAOC,Urban,7000,Yes
30026551,1,38,Bachelor Degree,Male,0,Light,7.05,20,LAOC,Urban,8000,No
30027253,2,56,High School Graduate,Female,2,None,4.65,5,LAOC,Suburban,12000,No
